symbol,cluster,pca_1,pca_2
AAVE-USD,0,-1.3463403627405415,0.8427570237448218
ADA-USD,0,-1.6658627758465074,-0.21178293196028014
ALGO-USD,3,-1.869733672724693,-1.3874629536635374
ATOM-USD,3,-1.440289150746506,-0.1768578816489729
AVAX-USD,3,-1.6826431437611058,-0.9992153869894795
AXS-USD,3,-1.983594164311124,-2.125588610492166
BCH-USD,0,-0.950241022234591,1.9620155638221644
BNB-USD,2,0.7586529430327237,6.189239135483358
BTC-USD,1,38.31852549424671,-1.790407200007794
CRV-USD,3,-2.444715301184304,-3.1620292586732965
DASH-USD,3,-2.3232026474509904,-2.4963308460216
DOGE-USD,0,-1.3104438185739833,0.2743742570034173
DOT-USD,3,-1.4813130661573015,-0.3173685114057602
EOS-USD,3,-2.0078243721290123,-2.0542979101276373
ETC-USD,0,-1.0337536265501919,1.8402764901317752
ETH-USD,2,3.1383025951820875,4.363913791995844
FIL-USD,3,-2.7394127697061665,-4.050541311749823
ICP-USD,3,-2.3609843471670815,-2.7897796067428535
LINK-USD,0,-1.2312035584206262,1.3070284733308604
LTC-USD,0,-0.8774789995411031,2.2527981988543635
MANA-USD,3,-1.872659884176724,-1.550252879070829
MKR-USD,0,-0.8150958358318955,0.4169724939257886
SHIB-USD,3,-2.341559794868405,-3.408678655409162
SOL-USD,0,-0.538978718994322,2.435542118540714
THETA-USD,3,-2.2268037298991077,-2.6252914493327575
VET-USD,3,-1.80432963334638,-1.0583357630825576
XLM-USD,0,-1.6128792412568986,0.5049195000661146
XMR-USD,2,0.03008835673343268,5.250400188838342
XRP-USD,0,-0.7343333152127128,2.204523933556963
XTZ-USD,0,-1.5498924363626747,0.359459987083982
