lag,value
0,1.0
1,0.9900271036799206
2,0.9816185499692142
3,0.9730380813702185
4,0.9640895263644036
5,0.9557391844166248
6,0.9471592104572356
7,0.9395340201684118
8,0.9317465403010122
9,0.9249614593038872
10,0.917389947836779
11,0.9086468984478376
12,0.9001215228660585
13,0.890998037639034
14,0.8800975338495431
15,0.8685201026860367
16,0.8577988872602248
17,0.8480999355982063
18,0.8383898564523263
19,0.8290888283995929
20,0.818585278971426
21,0.8082776199920688
22,0.7978905070843226
23,0.7872197692456296
24,0.7768972300468426
25,0.7674305867936925
26,0.7582871162774184
27,0.7493356212303988
28,0.7402833143184294
29,0.732262082196281
30,0.7249688705785405
31,0.7177722316046121
32,0.7095915177833417
33,0.7014955256538692
34,0.6938688856111623
35,0.6863439441001572
36,0.6789529393365963
37,0.6711915242425558
38,0.6645900406440431
39,0.6577897798015562
40,0.652127121768982
