symbol,count,mean,median,std,min,max,skew,kurtosis,missing_count
AAVE-USD,1096,147.37828145061965,105.15641403198242,86.6619547209191,50.13833618164063,384.06195068359375,0.8846112339527984,-0.5115767022549633,0
ADA-USD,1096,0.5272552069466915,0.4513749927282333,0.22294578831453707,0.2418729960918426,1.2311069965362549,0.7854674403299293,-0.228904431853874,0
ALGO-USD,1096,0.19370115508264216,0.1840945035219192,0.0749087625964185,0.0885410010814666,0.510837972164154,1.3392988849525116,2.517782466144556,0
ATOM-USD,1096,7.422424999466778,6.993265867233276,3.0470149171678464,2.178765058517456,15.146100997924805,0.3379355659853001,-0.956956738199469,0
AVAX-USD,1096,24.401748266533343,22.024023056030273,10.795457731030634,8.787721633911133,60.68994522094727,0.8142910105860414,0.15348615473734206,0
AXS-USD,1096,5.632658019226833,5.786665916442871,2.5861113279799013,1.0136719942092896,12.68054485321045,0.22330687145628417,-0.5351253775461386,0
BCH-USD,1096,338.19135102042316,334.2728271484375,150.72761724790467,96.6463394165039,695.160400390625,0.08962719532760971,-1.042707348454063,0
BNB-USD,1096,515.704322021373,567.2392578125,237.48647704490477,205.2294158935547,1310.21435546875,0.5874617227853745,-0.08884516851923419,0
BTC-USD,1096,64125.766145358124,63261.26171875,32341.456694704317,16439.6796875,124752.53125,0.17439259439175736,-1.356088736513021,0
CRV-USD,1096,0.6134021499595286,0.5750839710235596,0.23352901064681564,0.2096199989318847,1.2654119729995728,0.41038216312057973,-0.6033174565652977,0
DASH-USD,1096,34.11318001781937,29.356403350830078,13.990881970634957,18.2948055267334,121.69669342041016,1.9232653215916762,5.172377880597773,0
DOGE-USD,1096,0.14833765152678652,0.1248025000095367,0.08628750056135347,0.057897001504898,0.4672969877719879,1.3395232268647603,1.4624444211243461,0
DOT-USD,1096,5.400165384920844,5.0590598583221436,1.6808163646240957,2.042915105819702,11.542901992797852,0.8169852426280191,0.5786089728711565,0
EOS-USD,1096,0.7083424032550224,0.6904444992542267,0.23712724703354973,0.1767079979181289,1.3722820281982422,0.3228577045135323,-0.18224172425640317,0
ETC-USD,1096,20.906670021314692,19.75902557373047,4.934627426050174,12.970904350280762,38.43168640136719,1.131830596912909,1.0393686625610496,0
ETH-USD,1096,2602.333794809606,2497.315673828125,861.2402959901084,1167.60986328125,4831.3486328125,0.46921925742085846,-0.7704780025291971,0
FIL-USD,1096,4.286247857730754,4.087280988693237,1.7519214090080362,1.3679579496383667,11.47085952758789,1.0154282800072376,1.4384447084947403,0
ICP-USD,1096,7.080994548153703,5.597974538803101,3.447089147488834,2.891906976699829,19.05011367797852,1.043732031658842,0.23939631414753304,0
LINK-USD,1096,13.47925519595181,13.7115478515625,5.492764761463208,5.119155883789063,29.28685188293457,0.3586105818939326,-0.5864368728877323,0
LTC-USD,1096,86.25787121014004,85.10002136230469,17.28468654956853,55.9839096069336,136.990234375,0.6182391810756563,-0.23923213321354497,0
MANA-USD,1096,0.39812477093434684,0.3505455106496811,0.13864626465615834,0.1487780064344406,0.8065620064735413,0.8195974540827953,-0.06024842992880597,0
MKR-USD,1096,1581.117872112859,1526.6524658203125,670.5780039973527,505.0352478027344,3958.494140625,0.65363941881566,0.42812234581767283,0
SHIB-USD,1096,1.3863138747183257e-05,1.2000000424450263e-05,6.120067352424456e-06,7.000000096013537e-06,3.600000127335079e-05,1.244054322459819,0.8851600354673228,0
SOL-USD,1096,116.05710705005339,137.5624008178711,72.12407556629235,9.651782989501951,261.8697509765625,-0.15261411147114345,-1.2932327880514207,0
THETA-USD,1096,1.1738823746895268,0.9986670017242432,0.6202921064659411,0.3128249943256378,3.4741768836975098,1.4473255552163786,1.5585904623040174,0
VET-USD,1096,0.026544585753483715,0.0238889995962381,0.009820168727128365,0.0123100001364946,0.077503003180027,1.4294949854549117,2.175565096210763,0
XLM-USD,1096,0.18785949823630116,0.12019449844956395,0.12041792207363734,0.0711470022797584,0.5693879723548889,1.0447192414733273,-0.22676549718404493,0
XMR-USD,1096,196.50896265210898,163.90164184570312,70.66814173673744,104.9775161743164,436.30224609375,1.3769614459243376,0.8157477371559456,0
XRP-USD,1096,1.2178605971925884,0.5978710055351257,0.9684377085515008,0.3380390107631683,3.55576491355896,0.7975825188796232,-1.0678326178524702,0
XTZ-USD,1096,0.860260973881631,0.8084200024604797,0.24478565770492797,0.4698509871959686,1.7919830083847046,0.8947308674108486,0.5395667879462613,0
